ID,Chiplet,Cluster,Core,Type,Kernel
0,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
1,00,1,1,normal,__snax_bingo_kernel_idma_1d_copy
2,00,2,1,normal,__snax_bingo_kernel_idma_1d_copy
3,00,3,1,normal,__snax_bingo_kernel_idma_1d_copy
4,00,3,1,normal,__snax_bingo_kernel_idma_1d_copy
5,00,0,1,normal,__snax_bingo_kernel_xdma_1d_copy
6,00,1,1,normal,__snax_bingo_kernel_xdma_1d_copy
7,00,2,1,normal,__snax_bingo_kernel_xdma_1d_copy
8,00,2,1,normal,__snax_bingo_kernel_xdma_1d_copy
9,00,3,1,normal,__snax_bingo_kernel_xdma_1d_copy
10,00,3,1,normal,__snax_bingo_kernel_xdma_1d_copy
11,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
12,00,1,1,normal,__snax_bingo_kernel_xdma_1d_copy
13,00,3,1,normal,__snax_bingo_kernel_idma_1d_copy
14,00,0,1,normal,__snax_bingo_kernel_xdma_1d_copy
15,00,0,1,normal,__snax_bingo_kernel_xdma_1d_copy
16,00,1,1,normal,__snax_bingo_kernel_xdma_1d_copy
17,00,1,1,normal,__snax_bingo_kernel_xdma_1d_copy
18,00,0,0,normal,__snax_bingo_kernel_dual_vc_l15_moe_swiglu
19,00,0,0,normal,__snax_bingo_kernel_dual_vc_l15_moe_down
20,00,0,2,normal,__host_bingo_kernel_idma
21,00,1,0,normal,__snax_bingo_kernel_dual_vc_l15_moe_swiglu
22,00,1,0,normal,__snax_bingo_kernel_dual_vc_l15_moe_down
23,00,0,2,normal,__host_bingo_kernel_idma
24,00,3,0,normal,__snax_bingo_kernel_dual_vc_gemm_full
25,00,0,2,normal,__host_bingo_kernel_idma
26,00,0,2,normal,__host_bingo_kernel_moe_router_schedule
27,00,0,2,normal,__host_bingo_kernel_moe_prepare_request
28,00,0,2,normal,__host_bingo_kernel_moe_execute
29,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_gather_s1
30,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_load_gate_up_block
31,00,2,0,normal,__snax_bingo_kernel_moe_dynamic_expert_compute_gate_up_block
32,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_load_gate_up_block
33,00,2,0,normal,__snax_bingo_kernel_moe_dynamic_expert_compute_gate_up_block
34,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_prefetch_s2_down
35,00,2,0,normal,__snax_bingo_kernel_moe_dynamic_expert_compute_gate_up_full
36,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_load_down_block
37,00,2,0,normal,__snax_bingo_kernel_moe_dynamic_expert_compute_down_block
38,00,2,1,normal,__snax_bingo_kernel_moe_dynamic_expert_load_down_block
