ID,Chiplet,Cluster,Core,Type,Kernel
0,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
1,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
2,00,0,0,normal,__snax_bingo_kernel_gemm_full
3,00,0,2,normal,__host_bingo_kernel_idma
4,00,0,2,normal,__host_bingo_kernel_moe_router_schedule
5,00,0,2,normal,__host_bingo_kernel_compute_delayed_softmax
6,00,0,2,normal,__host_bingo_kernel_build_scatter_metadata
7,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
8,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
9,00,0,0,normal,__snax_bingo_kernel_gemm_full
10,00,0,2,normal,__host_bingo_kernel_idma
11,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
12,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
13,00,0,2,normal,__host_bingo_kernel_idma
14,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
15,00,0,0,normal,__snax_bingo_kernel_gemm_full
16,00,0,2,normal,__host_bingo_kernel_idma
17,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
18,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
19,00,0,2,normal,__host_bingo_kernel_idma
20,00,0,2,normal,__host_bingo_kernel_compute_hw_silu_glu
21,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
22,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
23,00,0,0,normal,__snax_bingo_kernel_gemm_full
24,00,0,2,normal,__host_bingo_kernel_idma
25,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
26,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
27,00,0,2,normal,__host_bingo_kernel_idma
28,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
29,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
30,00,0,0,normal,__snax_bingo_kernel_gemm_full
31,00,0,2,normal,__host_bingo_kernel_idma
32,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
33,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
34,00,0,2,normal,__host_bingo_kernel_idma
35,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
36,00,0,0,normal,__snax_bingo_kernel_gemm_full
37,00,0,2,normal,__host_bingo_kernel_idma
38,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
39,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
40,00,0,2,normal,__host_bingo_kernel_idma
41,00,0,2,normal,__host_bingo_kernel_compute_hw_silu_glu
42,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
43,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
44,00,0,0,normal,__snax_bingo_kernel_gemm_full
45,00,0,2,normal,__host_bingo_kernel_idma
46,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
47,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
48,00,0,2,normal,__host_bingo_kernel_idma
49,00,0,2,normal,__host_bingo_kernel_scatter_and_pad_input
50,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
51,00,0,0,normal,__snax_bingo_kernel_gemm_full
52,00,0,2,normal,__host_bingo_kernel_idma
53,00,0,1,normal,__snax_bingo_kernel_idma_1d_copy
54,00,0,0,normal,__snax_bingo_kernel_gemm_minimal
55,00,0,2,normal,__host_bingo_kernel_idma
